254,10,88,12,170,490,0.0086815734119140564,8.2209200863661351
255,1,83,16,123,116,0.001202606113863833,3.272969988132409
256,2,94,11,96,598,0.021891559330250783,29.471524402018151
257,9,91,8,116,712,0.051991487937984505,36.523991610845329
258,10,99,13,107,772,0.013399425019542039,14.645791500785869
259,7,91,5,183,760,0.20301501511649059,81.057877789164166
260,15,35,13,198,156,0.0018393894478659447,1.9429538879513615
261,7,40,16,111,455,0.0044615451023508335,6.4531236177787594
262,12,63,13,113,406,0.0064866824031362255,6.8216623418769586
263,7,45,12,98,979,0.024426162052993194,26.417916728537104
264,3,73,2,197,481,2.2158842616926093,331.91826565650211
265,14,86,14,150,455,0.0048739871950549468,5.4353946314750621
266,1,82,1,190,860,34.362108305740591,2992.8602988735256
267,10,97,7,182,214,0.018771882835831165,10.902073349670841
268,6,41,7,182,722,0.070502071503458566,44.167556445435928
269,7,85,6,121,663,0.12238470642318663,63.092797396159071
270,5,83,15,126,814,0.0094427457638782825,13.989128214826669
271,10,53,8,135,681,0.044920036635001451,31.516669898957502
272,6,90,3,107,275,0.46286821444739729,109.56057847413295
273,12,64,8,139,182,0.011187883307752614,7.7613404037974654
274,10,87,8,200,821,0.046196481105360163,33.301886436453536
275,1,90,19,139,313,0.0018004722918371341,6.2530536173799076
276,3,82,18,184,263,0.0015386530803175504,3.3158009861426572
277,10,40,10,162,412,0.012874405080155811,11.312204177323471
278,9,94,11,182,506,0.011675866266808152,10.857336570664637
279,7,92,2,133,740,3.635666229092501,586.32364307622981
280,10,66,18,116,160,0.00099928093302810916,1.4762316453905551
281,12,47,5,158,397,0.0972991203181815,41.711504438013264
282,14,98,4,131,469,0.2287330949414963,81.079742809219439
283,12,66,2,195,534,1.8389068106165267,327.04772479555925
284,6,79,12,116,347,0.0080700185314781115,8.87137011520539
285,3,85,9,185,643,0.030696186251805636,30.138889512409303
286,11,64,11,145,914,0.021978273526623737,20.502151818500707
287,4,71,10,110,237,0.010266797050287909,10.282627385954084
288,15,43,1,128,885,25.346604406580848,2501.3113045642067
289,5,47,2,127,455,2.4433019670795839,385.56944299520467
290,6,92,1,190,57,1.9566796441326915,162.51017346262182
291,11,95,6,126,781,0.12560187060485867,64.932768928624725
292,7,32,15,101,148,0.0018698464539031326,2.5007016911090161
293,6,91,7,122,355,0.041473405168645915,25.986630663962206
294,1,61,6,190,506,0.087298036067349136,70.874457054383882
295,10,49,4,102,783,0.49973485100660558,165.9816693026614
296,12,30,13,152,685,0.0096511547082479,10.284728199791305
297,1,90,18,195,433,0.0025610822102752045,8.4440104256198847
298,3,76,6,119,337,0.069292314067699048,40.707806587674987
299,3,83,12,132,524,0.012160536692510363,16.098620228070363
300,1,55,11,173,751,0.020878581557338464,38.049259405023292
301,6,85,13,159,985,0.015544055584004927,18.925700094250661
302,9,40,1,136,500,17.795232330355852,1452.7503928663377
303,3,42,1,170,689,27.342566391091751,2164.8898407210163
304,13,70,8,139,409,0.024419145247206619,17.153811746634553
305,2,92,4,172,974,0.59744614780403626,234.89613849617322
306,3,89,16,181,769,0.0064926552667651013,11.97732970677265
